WEEK_NUM,,,PRTNUM,,,PRT_CLIENT_ID,SUM(ORDQTY)
8,,,KT-SAC5000-8000CR,,,ZEBRA,1
8,,,DS457-SR20004ZZWW,,,ZEBRA,584
3,,,CC5000-10-WM-US,,,ZEBRA,82
3,,,CC5000-10J16X1WWWM,,,ZEBRA,210
3,,,450005,,,ZEBRA,23
3,,,ZT61042-T010100Z,,,ZEBRA,352
8,,,TC56CJ-1PAZU2P-A6,,,ZEBRA,66
8,,,TC57HO-1PEZU4P-NA,,,ZEBRA,10508
8,,,SG-NGWT-WSTPST-01,,,ZEBRA,380
3,,,1073173,,,TX3,2
3,,,142.00T0L.0001,,,TX3,1013
3,,,4900-029940,,,TX3,375
8,,,KT-STRP2-RS507-10R,,,ZEBRA,3
8,,,P1052311-01,,,ZEBRA,1
8,,,P1025950-039,,,ZEBRA,1
8,,,TM-227-02,,,ZEBRA,94
8,,,ST6081,,,ZEBRA,23
8,,,TC56CJ-2PAZU4P-US,,,ZEBRA,10
8,,,P1079903-022,,,ZEBRA,438
3,,,4900-030290,,,TX3,176
3,,,P1031925-125,,,ZEBRA,115
8,,,SAC9000-4000R,,,ZEBRA,292
8,,,ZT61046-T210100Z,,,ZEBRA,63
3,,,142.00T0A.0001,,,TX3,585
3,,,P1072539-012,,,ZEBRA,5
8,,,ZT23042-T11200FZ,,,ZEBRA,63
3,,,41-122920-03,,,TX3,465
3,,,P1093300-003,,,ZEBRA,19
3,,,KT-152097-01,,,ZEBRA,3
3,,,20-73951-07R,,,ZEBRA,1636
8,,,KIT-PWR-12V50W,,,ZEBRA,330
8,,,MC330K-GI3HG3US,,,ZEBRA,15
8,,,ZT51043-T110000Z,,,ZEBRA,6
8,,,400004,,,ZEBRA,60
3,,,79806,,,ZEBRA,11
8,,,8710-051800-07,,,TX3,13
3,,,7014-002941,,,TX3,50
8,,,DS457-HD20004ZZWW,,,ZEBRA,821
3,,,P1046696-009,,,ZEBRA,46
3,,,P1069177-002,,,ZEBRA,820
3,,,P1063406-012,,,ZEBRA,15
3,,,16M.038MB.0010,,,TX3,3
3,,,40.18R24.001,,,TX3,3729
3,,,91-84388-20,,,TX3,150
3,,,15-83921-01,,,TX3,2900
8,,,MC930B-GSCDG4NA,,,ZEBRA,100
3,,,GK42-202510-000,,,ZEBRA,2254
3,,,GX43-102411-000,,,ZEBRA,360
3,,,8710-053330-17,,,TX3,110
3,,,79864M,,,ZEBRA,2
8,,,UBC2000-I500DES,,,ZEBRA,16
3,,,CRD-TC8D-2SUCHG-01,,,ZEBRA,17
8,,,450020,,,ZEBRA,7
8,,,MISC-MC93-SCRN-01,,,ZEBRA,358
8,,,ADP-TC51-RGIO1-03,,,ZEBRA,205
8,,,CBL-WT41-DCADP-01,,,ZEBRA,21
3,,,GX42-102410-000,,,ZEBRA,1470
3,,,G43110M,,,ZEBRA,74
3,,,61331M,,,ZEBRA,2
3,,,SAC-MPM-3BCHGUS1-01,,,ZEBRA,85
3,,,ZD62142-T01L02EZ,,,ZEBRA,2
8,,,20-4750MR-IM114R,,,ZEBRA,53
3,,,20-4750MR-IM114R,,,ZEBRA,7
8,,,CBL-58918-03,,,ZEBRA,10
3,,,8710-053330-03,,,TX3,66
3,,,8710-053330-05,,,TX3,70
3,,,SG-MC9521110-01R,,,ZEBRA,55
3,,,MC92N0-GJ0SXJYA5WR,,,ZEBRA,9
8,,,MPACT-MB1000-01-ACC,,,ZEBRA,101
3,,,6012A0363601,,,TX3,1000
3,,,16M.038LD.0001,,,TX3,219
3,,,41-155913-01,,,TX3,325
3,,,KT-152098-03,,,ZEBRA,1
3,,,ZT22042-T01000FZ,,,ZEBRA,72
3,,,ZQ32-A0W01RL-00,,,ZEBRA,2980
3,,,1051081-200,,,TX3,23
3,,,HN-001179-01,,,TX3,2600
3,,,ET51CE-G21E-00A6,,,ZEBRA,1
8,,,P1094879-203,,,ZEBRA,3
3,,,20667-002,,,ZEBRA,10
3,,,VCH5500-1000R,,,ZEBRA,68
3,,,MC930P-GSDEG4NA-TI,,,ZEBRA,12
3,,,1301-04RGF00,,,TX3,2
3,,,8070-00337P,,,TX3,706
3,,,CRD-ET5X-1SCOM1R,,,ZEBRA,438
3,,,P1018608-RA,,,ZEBRA,3
3,,,MC330K-GE4HA3US,,,ZEBRA,1178
3,,,CC6000-10-3200LCNA,,,ZEBRA,337
3,,,47.18R05.001,,,TX3,20
3,,,ZT23042-D21000FZ,,,ZEBRA,11
3,,,TC75GK-2MB22AD-A6,,,ZEBRA,122
3,,,SG-TC51-HLSTR1-01,,,ZEBRA,35875
3,,,P1083347-012,,,ZEBRA,295
3,,,ZQ52-AUN1000-3NZ,,,ZEBRA,104
3,,,MP7001-LPSLM00US,,,ZEBRA,242
3,,,212412-001,,,ZEBRA,20
8,,,DS8178-DL0F127ZZWW,,,ZEBRA,420
3,,,DA17068-1,,,ZEBRA,25
3,,,155.01R01.0017,,,TX3,80
3,,,P1024434,,,ZEBRA,1500
3,,,SG-TC51-WMADP1-02,,,ZEBRA,171
3,,,P1006036,,,ZEBRA,10
8,,,420060,,,ZEBRA,13
8,,,MC92N0-GJ0SXHRA5WR,,,ZEBRA,4
3,,,P1083320-041A,,,ZEBRA,57
3,,,ZP550-0518-0030A,,,ZEBRA,8
3,,,ZD51013-D01E00FZ,,,ZEBRA,1077
3,,,300257-008,,,ZEBRA,827
3,,,8710-057001-00,,,TX3,500
3,,,8710-059401-33,,,TX3,500
3,,,450164,,,TX3,24
3,,,P1046696-058,,,ZEBRA,5
8,,,CBLRD-1B4001800R,,,ZEBRA,99
8,,,1309-00FK000,,,TX3,2976
3,,,MK590-A030DB9GWTWR,,,ZEBRA,127
3,,,CN-000803-04,,,ZEBRA,85
3,,,1301-04QS600,,,TX3,91
8,,,KT-CLMPT-RS507-01R,,,ZEBRA,1738
8,,,20-66483-02R,,,ZEBRA,287
8,,,P105931-058,,,ZEBRA,7
8,,,CBA-U32-C09ZAR,,,ZEBRA,1494
8,,,LS2208-7AZR0100DR,,,ZEBRA,193
8,,,KT-151827-03R,,,ZEBRA,251
8,,,LS2208-SR20001R,,,ZEBRA,739
8,,,P1050667-018,,,ZEBRA,1577
8,,,P1031925-224,,,ZEBRA,1
8,,,P1046696-082,,,ZEBRA,9
8,,,PWR-BGA24V78W1WW,,,ZEBRA,146
3,,,79810M,,,ZEBRA,17
3,,,14196M,,,ZEBRA,17
3,,,P1027135-007,,,ZEBRA,1
8,,,25-85767-02R,,,ZEBRA,40
3,,,P1037974-021,,,ZEBRA,31
8,,,7014-002165,,,TX3,344
8,,,ZQ63-AUWAL00-00,,,ZEBRA,59
8,,,160.02G04.0001,,,TX3,10
8,,,4900-029500,,,TX3,1896
8,,,BTRY-MC95IABA0,,,ZEBRA,219
8,,,P1053360-019,,,ZEBRA,55
8,,,3087568V84,,,ZEBRA,2
8,,,6019A0847501,,,TX3,2000
8,,,P1037750-101,,,ZEBRA,8
8,,,DS8108-SR00007ZZWW,,,ZEBRA,1873
8,,,ZT23042-T01200FZ,,,ZEBRA,1411
8,,,ZP505-0503-0020,,,ZEBRA,984
8,,,TC720L-0ME24B0-NA,,,ZEBRA,196
8,,,420084,,,ZEBRA,17
8,,,P1080383-226,,,ZEBRA,16
8,,,P1046696-081,,,ZEBRA,11
8,,,DS4308-HD00007ZZWW,,,ZEBRA,74
8,,,ZD62043-D01F00EZ,,,ZEBRA,63
8,,,VCA5500-01R,,,ZEBRA,1175
8,,,8710-053201-26,,,TX3,4504
8,,,41-79062-102,,,TX3,14
8,,,8710-050383-59,,,TX3,145
8,,,RFD2000-1000100-US,,,ZEBRA,1174
3,,,CRD-TC51-1SCU1-01,,,ZEBRA,2303
8,,,CC6000-10-3200LCWW,,,ZEBRA,30
8,,,50-12100-2464,,,TX3,510
8,,,40.10X01.052,,,TX3,700
8,,,ZT62062-T01A100Z,,,ZEBRA,106
8,,,8710-050471-04,,,TX3,800
8,,,884-00339,,,TX3,2320
8,,,ZQ62-AUWA0B0-00,,,ZEBRA,408
8,,,G41001M,,,ZEBRA,43
8,,,450042,,,ZEBRA,94
8,,,300010,,,ZEBRA,4
8,,,KT-ADP9000-100ES,,,ZEBRA,1
8,,,P1037974-023,,,ZEBRA,9
8,,,P1063406-018,,,ZEBRA,12
8,,,8710-053330-37,,,TX3,100
8,,,800084-914,,,ZEBRA,1
8,,,1510-0LX1000,,,TX3,3100
8,,,MW1269EAUNEB,,,TX3,180
8,,,4900-029820,,,TX3,13
8,,,46017,,,ZEBRA,3
8,,,CRD-TC51-HC5SC1-01,,,ZEBRA,552
8,,,P1046696-068,,,ZEBRA,14
8,,,ET50NT-W22E,,,ZEBRA,3
8,,,ZD23042-D21G00EZ,,,ZEBRA,7
8,,,ZKDU-001-00,,,ZEBRA,77
8,,,CBA-K08-C20PAR,,,ZEBRA,24
8,,,8710-056100-91,,,TX3,165
8,,,60.16M17.005,,,TX3,110
8,,,CBL-58926-04,,,ZEBRA,2744
8,,,P1046696-029,,,ZEBRA,5
8,,,DS9808-SR00007NNWR,,,ZEBRA,55
8,,,P1028770-001,,,ZEBRA,150
8,,,4600-012370,,,TX3,641
8,,,91-000691-01,,,TX3,223
8,,,G38000M,,,ZEBRA,25
8,,,P1108828,,,ZEBRA,183
8,,,P1057256,,,ZEBRA,15
8,,,8710-050330-98,,,TX3,1028
8,,,50-12100-2629,,,TX3,150
8,,,105936G-372,,,ZEBRA,1
8,,,P1006095,,,ZEBRA,12
8,,,RS60B0-MRSTWR,,,ZEBRA,195
8,,,BTRY-MCXX-3080-10R,,,ZEBRA,10
3,,,810097-002,,,ZEBRA,68
3,,,P1046258,,,ZEBRA,250
3,,,P1037750-089,,,ZEBRA,97
3,,,79400-001M,,,ZEBRA,23
3,,,P1018253,,,ZEBRA,1
12,,,P1031365-033,,,ZEBRA,134
12,,,P1050667-016,,,ZEBRA,573
3,,,16M.01RCS.0002,,,TX3,1666
3,,,MC32N0-RL4SCLE0A,,,ZEBRA,496
3,,,P1080383-226,,,ZEBRA,58
3,,,TC83BH-3205A710NA,,,ZEBRA,415
12,,,210126,,,ZEBRA,12
12,,,ET51AT-W15E,,,ZEBRA,20
8,,,DS8178-SR0F227ZZWW,,,ZEBRA,1
12,,,G46278M,,,ZEBRA,156
3,,,6M.18RCA.001,,,TX3,248
3,,,P1031365-027,,,ZEBRA,435
3,,,P1093737-006,,,ZEBRA,31
3,,,P1027135-013,,,ZEBRA,19
3,,,P1046696-032,,,ZEBRA,148
3,,,02000BK17445,,,ZEBRA,2
3,,,SAC7X00-401CES,,,ZEBRA,82
3,,,P1058390-1,,,ZEBRA,2
3,,,P1046696-113,,,ZEBRA,33
3,,,104208,,,ZEBRA,280
3,,,HDS-3678-0001,,,ZEBRA,570
3,,,P1006139,,,ZEBRA,1
3,,,CBA-RF5-S07ZAR,,,ZEBRA,615
3,,,72-43112-01,,,ZEBRA,260
3,,,ST6101,,,ZEBRA,6
3,,,11-129851-04,,,ZEBRA,54
3,,,DS3678-SR0F113VZWW,,,ZEBRA,239
3,,,8710-050383-46,,,TX3,747
3,,,KP000026A02,,,TX3,571
8,,,ZT41042-T0100A0Z,,,ZEBRA,36
8,,,ZT42062-T01000GA,,,ZEBRA,5
8,,,WA3025,,,ZEBRA,260
3,,,6M-10JMB-001,,,TX3,1
3,,,ET56DE-G21E-00NA,,,ZEBRA,442
8,,,ZT61042-T010200Z,,,ZEBRA,35
8,,,11-35035-01R,,,ZEBRA,215
8,,,ZT23042-D21000FZ,,,ZEBRA,8
8,,,ZP450-0501-0006A,,,ZEBRA,2016
8,,,112-801-00200,,,ZEBRA,1
8,,,P1007561,,,ZEBRA,13
8,,,G44998-1M,,,ZEBRA,1
3,,,20-61019-01R,,,ZEBRA,589
8,,,ZC11-0000000LA00,,,ZEBRA,133
8,,,P1063406-025,,,ZEBRA,31
8,,,BTRY-MC33-52MA-01,,,ZEBRA,1130
3,,,P1037974-008,,,ZEBRA,296
3,,,200582,,,ZEBRA,5
8,,,ZT23042-T21200FZ,,,ZEBRA,30
8,,,CC600-5-3200LNNA,,,ZEBRA,43
3,,,450047,,,ZEBRA,15
8,,,P1006082,,,ZEBRA,16
12,,,CRD-TC2X-SE1ET-01,,,ZEBRA,377
12,,,CBA-RF1-C09PAR,,,ZEBRA,118
12,,,BRKT-SCRD-SMRK-01,,,ZEBRA,605
8,,,VH10115110110A00,,,ZEBRA,21
12,,,11-66553-06R,,,ZEBRA,1234
8,,,P1037750-145,,,ZEBRA,18
8,,,6M.13YBD.006,,,TX3,10
12,,,16M.038LD.0001,,,TX3,486
12,,,ZQ62-AUWA000-00,,,ZEBRA,835
8,,,P1094879-057,,,ZEBRA,1
12,,,P1062187,,,ZEBRA,1
8,,,804205-001,,,ZEBRA,607
12,,,300154,,,ZEBRA,263
8,,,P1006062,,,ZEBRA,13
12,,,P1083320-118,,,ZEBRA,12
8,,,16H.025MS.0027,,,TX3,375
12,,,8710-053300-33,,,TX3,71
8,,,1050067-300,,,ZEBRA,2
8,,,P1037974-050,,,ZEBRA,4
8,,,50.18H01.021,,,TX3,272
12,,,8710-057200-61,,,TX3,160
8,,,P1046696-147,,,ZEBRA,3
8,,,P1046696-075,,,ZEBRA,14
12,,,KT-TC25BJ-10B101LT,,,ZEBRA,78
12,,,P1031365-069,,,ZEBRA,902
12,,,63-123921-17,,,TX3,210
8,,,300020-005,,,ZEBRA,300
8,,,1301-02FD000,,,TX3,220
8,,,PA001402A01,,,TX3,25
12,,,LD-D3TP5H,,,ZEBRA,100
8,,,16M.02GCS.0002,,,TX3,70
8,,,24-84046-03,,,TX3,34
8,,,440035,,,ZEBRA,65
8,,,16M.038CS.0002,,,TX3,10
12,,,P1004592,,,ZEBRA,28
8,,,45189-19,,,ZEBRA,6
8,,,20.F1637.002,,,TX3,65
12,,,GK42-202510-000,,,ZEBRA,1449
12,,,400022,,,ZEBRA,88
12,,,G79056-1M,,,ZEBRA,19
12,,,P1053360-018,,,ZEBRA,142
8,,,PA000814A02,,,TX3,52
8,,,LB000475A01,,,TX3,400
8,,,21-156928-01,,,TX3,17
12,,,P1080383-418,,,ZEBRA,484
12,,,AK18913-001,,,ZEBRA,58
8,,,CR8178-PCM00FBWW,,,TX3,1
12,,,P1037974-028,,,ZEBRA,334
12,,,300795-002,,,ZEBRA,10
3,,,PWR-BGA12V50W0WW,,,TX3,329
12,,,P1046696-125,,,ZEBRA,2
8,,,8710-050332-59,,,TX3,700
12,,,DS3608-HD3RF50BZVW,,,ZEBRA,88
12,,,DS3608-HD20003VZWW,,,ZEBRA,348
12,,,KIT-MPP-LPZQ631-01,,,ZEBRA,3
12,,,P1027135-045,,,ZEBRA,6
12,,,1309-00SL000,,,TX3,30
8,,,AS-000140-01,,,TX3,475
12,,,ZT41046-T010000Z,,,ZEBRA,50
12,,,WA4L11030100120W,,,ZEBRA,6
8,,,42.18R26.002,,,TX3,2658
8,,,11-176034-12,,,TX3,220
8,,,16H.038MS.0011,,,TX3,10
8,,,ZC11-0M0C000US00,,,ZEBRA,5
8,,,7514-010560,,,TX3,11
8,,,4408-000620,,,TX3,65
8,,,24-83819-02,,,TX3,163
8,,,CBL-320-00,,,ZEBRA,1
8,,,BTRY-RS51-4MA-01,,,ZEBRA,1635
8,,,ZD50043-T21200FZ,,,ZEBRA,5
8,,,P1031925-235,,,ZEBRA,2
8,,,16H.02GMS.0014,,,TX3,400
8,,,056.27026.0041,,,TX3,12
3,,,MC333R-GI2HG4EU,,,ZEBRA,17
8,,,2399-001960,,,TX3,111
8,,,CRD-L10-IND04,,,ZEBRA,1
8,,,DS9908-DL00004ZZNA,,,ZEBRA,61
8,,,P1058930-004,,,ZEBRA,24
8,,,TC51UPS-0GMS216-US,,,ZEBRA,5
8,,,P1065668-023,,,ZEBRA,208
8,,,KT-SCANMNT-VC70-R,,,ZEBRA,9
3,,,19876,,,ZEBRA,1306
8,,,ZD42H43-D01E00EZ,,,ZEBRA,108
8,,,410014,,,ZEBRA,52
8,,,ZBK-ET5X-8SCN1-01,,,ZEBRA,31
8,,,P1058930-071,,,ZEBRA,9
8,,,MNT-TC8X-FMKT8-01,,,ZEBRA,29
